id,title,original_title,overview,genre_ids,genre_names,adult,original_language,vote_average,popularity,vote_count,poster_url,backdrop_url
639988,어쩔수가없다,어쩔수가없다,"‘다 이루었다’는 생각이 들 만큼 삶에 만족하던 25년 경력의 제지 전문가 ‘만수’. 아내 ‘미리’, 두 아이, 반려견들과 함께 행복한 일상을 보내던 만수는 회사로부터 돌연 해고 통보를 받는다. “미안합니다. 어쩔 수가 없습니다.” 목이 잘려 나가는 듯한 충격에 괴로워하던 만수는, 가족을 위해 석 달 안에 반드시 재취업하겠다고 다짐한다. 그 다짐이 무색하게도, 그는 1년 넘게 마트에서 일하며 면접장을 전전하고, 급기야 어렵게 장만한 집마저 빼앗길 위기에 처한다. 무작정 [문 제지]를 찾아가 필사적으로 이력서를 내밀지만, ‘선출’ 반장 앞에서 굴욕만 당한다. [문 제지]의 자리는 누구보다 자신이 제격이라고 확신한 만수는 모종의 결심을 한다. “나를 위한 자리가 없다면, 내가 만들어서라도 취업에 성공하겠다.”","80,53,35",범죄|스릴러|코미디,False,ko,7.707,38.9698,541,https://image.tmdb.org/t/p/w500/9w7WGjQes0Cs0s4U3Qr09Tg1Sra.jpg,https://image.tmdb.org/t/p/w780/s6aB9kjxNg0mu2361IkCUSpyHJV.jpg
157336,인터스텔라,Interstellar,"세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 나사 소속 우주비행사였던 쿠퍼는 지구에 몰아친 식량난으로 옥수수나 키우며 살고 있다. 거센 황사가 몰아친 어느 날 알 수 없는 힘에 이끌려 딸과 함께 도착한 곳은 인류가 이주할 행성을 찾는 나사의 비밀본부. 이 때 시공간에 불가사의한 틈이 열리고, 이 곳을 탐험해 인류를 구해야 하는 임무를 위해 쿠퍼는 만류하는 딸을 뒤로한 채 우주선에 탑승하는데...","12,18,878",모험|드라마|SF,False,en,8.466,42.8479,38720,https://image.tmdb.org/t/p/w500/evoEi8SBSvIIEveM3V6nCJ6vKj8.jpg,https://image.tmdb.org/t/p/w780/5XNQBqnBwPA9yT0jZ0p3s8bbLh0.jpg
1448560,Wildcat,Wildcat,,"28,53",액션|스릴러,False,en,5.968,33.7429,78,https://image.tmdb.org/t/p/w500/tZst3WyMhbpfwC9kjuuKojAY7iJ.jpg,https://image.tmdb.org/t/p/w780/pAyImoslSnpMgjRwhaS5ZEdl8UI.jpg
1034716,우리의 열 번째 여름,People We Meet on Vacation,"자유로운 영혼의 파피와 계획을 좋아하는 알렉스. 수년간 여름휴가를 함께 보낸 후, 이 정반대의 두 친구는 연인으로도 완벽한 한 쌍이 될 수 있을지 고민한다.","10749,35,18",로맨스|코미디|드라마,False,en,7.039,32.6165,359,https://image.tmdb.org/t/p/w500/dCmOJiBIzr3XVkQTD85FRdOVfTK.jpg,https://image.tmdb.org/t/p/w780/qth56RA3rkUlhbDRDKGeMJEssdi.jpg
1213898,बॉर्डर २,बॉर्डर २,,"28,18,10752",액션|드라마|전쟁,False,hi,7.625,34.2019,4,https://image.tmdb.org/t/p/w500/AmrCgmDPEJ6QxllS1rhjYwgO9Wb.jpg,https://image.tmdb.org/t/p/w780/fzo85eKFEjfmJ781gubJQjpQAwF.jpg
772462,Don't Follow Me,Don't Follow Me,,"27,9648",공포|미스터리,False,es,6.474,30.1523,38,https://image.tmdb.org/t/p/w500/gop4DwcBeb9T3JTaxwDEHdJNqSq.jpg,https://image.tmdb.org/t/p/w780/bAYEj5QmPKxxEuwhOtDtcaBYdnm.jpg
1124566,센티멘탈 밸류,Affeksjonsverdi,가족을 버리고 떠난 영화감독 구스타프는 재회한 딸에게 영화 출연을 제안한다. 하지만 노라는 아버지에 대한 불신과 원망으로 단칼에 거절한다.,18,드라마,False,no,7.6,28.0039,406,https://image.tmdb.org/t/p/w500/8DbSCDlGJG2SO9iOD4GlXOXuKVe.jpg,https://image.tmdb.org/t/p/w780/mXlDBIHh9hBkDCMNazGV2fEPr5J.jpg
120,반지의 제왕: 반지 원정대,The Lord of the Rings: The Fellowship of the Ring,"호빗이라 불리우는 난장이 종족 중의 한 명인 프로도는 자신의 삼촌에게서 우연히 절대 반지를 물려받게 되고, 마법사 간달프를 통해서 절대반지가 사우론의 손에 들어가면 악의 세력이 세상을 지배하게 된다는 것을 알게 된다. 하지만 절대반지를 영원히 파괴할 수 있는 유일한 방법은 반지가 만들어진 불의 산의 용암에 그것을 던져 넣는 길 뿐이다. 마침내 프로도와 그의 친구들, 엘프족인 레골라스, 난장이족 김리, 두명의 인간 전사 아라곤과 보로미르, 그리고 마법사 간달프로 구성된 반지 원정대가 길고도 험난한 여정을 떠나게 되는데...","12,14,28",모험|판타지|액션,False,en,8.4,28.7441,26906,https://image.tmdb.org/t/p/w500/r18JdjImbWDRwkbVDIzWoLQqkCo.jpg,https://image.tmdb.org/t/p/w780/a0lfia8tk8ifkrve0Tn8wkISUvs.jpg
967941,위키드: 포 굿,Wicked: For Good,전혀 다르지만 서로에게 가장 소중한 친구가 된 ‘엘파바’와 ‘글린다’. 쉬즈에서의 마법같았던 둘의 우정은 오즈의 마법사와 그를 둘러싼 비밀들을 알게 되면서 다른 길을 선택할 수밖에 없게 내몰린다. 사람들의 시선을 더 이상 두려워하지 않게 된 사악한 마녀 ‘엘파바’와 사람들의 사랑을 받으면서도 모든 걸 잃을까 두려운 착한 마녀 ‘글린다’. 서로 대척점에 서게 된 두 사람은 거대한 여정의 끝에서 운명을 영원히 바꿀 선택을 마주하게 된다.,"14,12,10749",판타지|모험|로맨스,False,en,6.685,30.5613,769,https://image.tmdb.org/t/p/w500/2QQHvIysfrRhOE5fpaKNlxIwUW4.jpg,https://image.tmdb.org/t/p/w780/cGbPBHKSFO7hSIjxkb3KOaGdOep.jpg
1197306,워킹맨,A Working Man,"전직 블랙 옵스 요원이었던 레본 케이드(제이슨 스타뎀)는 평범한 건설 노동자로 살아가며 딸과 함께 조용한 삶을 추구하고 있었으나 그의 상사의 딸이 인신매매 조직에 의해 납치되면서, 다시 과거의 전투 기술을 사용해 그녀를 구하기 위해 나서게 된다. 이 과정에서 시카고의 범죄 조직과 러시아 마피아와 얽히며, 부패와 폭력으로 가득 찬 어두운 세계를 마주하게 되는데...","28,80,53",액션|범죄|스릴러,False,en,6.688,27.683,1762,https://image.tmdb.org/t/p/w500/pPokyKVPve6HNSgVliOlrMwU1lM.jpg,https://image.tmdb.org/t/p/w780/fTrQsdMS2MUw00RnzH0r3JWHhts.jpg
